dataset,method,lambda,accuracy,f1,auc,SEX__spd_spd_range,SEX__spd_spd_rate_1,SEX__spd_spd_rate_2,SEX__spd_spd_diff_1_minus_2,SEX__spd_spd_max_pair_diff,SEX__eod_eod_tpr_range,SEX__eod_eod_fpr_range,SEX__eod_eod_tpr_1,SEX__eod_eod_tpr_2,SEX__eod_eod_fpr_1,SEX__eod_eod_fpr_2,SEX__eod_eod_tpr_diff_1_minus_2,SEX__eod_eod_tpr_max_pair_diff,SEX__eod_eod_fpr_diff_1_minus_2,SEX__eod_eod_fpr_max_pair_diff,SEX__di_disparate_impact,SEX__di_1,SEX__di_2,SEX__theil_theil_index,SEX__theil_theil_rate_1,SEX__theil_theil_rate_2,RAC1P__spd_spd_range,RAC1P__spd_spd_rate_1,RAC1P__spd_spd_rate_2,RAC1P__spd_spd_rate_9,RAC1P__spd_spd_rate_8,RAC1P__spd_spd_rate_6,RAC1P__spd_spd_rate_7,RAC1P__spd_spd_diff_1_minus_2,RAC1P__spd_spd_diff_1_minus_9,RAC1P__spd_spd_diff_1_minus_8,RAC1P__spd_spd_diff_1_minus_6,RAC1P__spd_spd_diff_1_minus_7,RAC1P__spd_spd_diff_2_minus_9,RAC1P__spd_spd_diff_2_minus_8,RAC1P__spd_spd_diff_2_minus_6,RAC1P__spd_spd_diff_2_minus_7,RAC1P__spd_spd_diff_9_minus_8,RAC1P__spd_spd_diff_9_minus_6,RAC1P__spd_spd_diff_9_minus_7,RAC1P__spd_spd_diff_8_minus_6,RAC1P__spd_spd_diff_8_minus_7,RAC1P__spd_spd_diff_6_minus_7,RAC1P__spd_spd_max_pair_diff,RAC1P__eod_eod_tpr_range,RAC1P__eod_eod_fpr_range,RAC1P__eod_eod_tpr_1,RAC1P__eod_eod_tpr_2,RAC1P__eod_eod_tpr_9,RAC1P__eod_eod_tpr_8,RAC1P__eod_eod_tpr_6,RAC1P__eod_eod_tpr_7,RAC1P__eod_eod_fpr_1,RAC1P__eod_eod_fpr_2,RAC1P__eod_eod_fpr_9,RAC1P__eod_eod_fpr_8,RAC1P__eod_eod_fpr_6,RAC1P__eod_eod_fpr_7,RAC1P__eod_eod_tpr_diff_1_minus_2,RAC1P__eod_eod_tpr_diff_1_minus_9,RAC1P__eod_eod_tpr_diff_1_minus_8,RAC1P__eod_eod_tpr_diff_1_minus_6,RAC1P__eod_eod_tpr_diff_2_minus_9,RAC1P__eod_eod_tpr_diff_2_minus_8,RAC1P__eod_eod_tpr_diff_2_minus_6,RAC1P__eod_eod_tpr_diff_9_minus_8,RAC1P__eod_eod_tpr_diff_9_minus_6,RAC1P__eod_eod_tpr_diff_8_minus_6,RAC1P__eod_eod_tpr_max_pair_diff,RAC1P__eod_eod_fpr_diff_1_minus_2,RAC1P__eod_eod_fpr_diff_1_minus_9,RAC1P__eod_eod_fpr_diff_1_minus_8,RAC1P__eod_eod_fpr_diff_1_minus_6,RAC1P__eod_eod_fpr_diff_1_minus_7,RAC1P__eod_eod_fpr_diff_2_minus_9,RAC1P__eod_eod_fpr_diff_2_minus_8,RAC1P__eod_eod_fpr_diff_2_minus_6,RAC1P__eod_eod_fpr_diff_2_minus_7,RAC1P__eod_eod_fpr_diff_9_minus_8,RAC1P__eod_eod_fpr_diff_9_minus_6,RAC1P__eod_eod_fpr_diff_9_minus_7,RAC1P__eod_eod_fpr_diff_8_minus_6,RAC1P__eod_eod_fpr_diff_8_minus_7,RAC1P__eod_eod_fpr_diff_6_minus_7,RAC1P__eod_eod_fpr_max_pair_diff,RAC1P__di_disparate_impact,RAC1P__di_1,RAC1P__di_2,RAC1P__di_9,RAC1P__di_8,RAC1P__di_6,RAC1P__di_7,RAC1P__theil_theil_index,RAC1P__theil_theil_rate_1,RAC1P__theil_theil_rate_2,RAC1P__theil_theil_rate_9,RAC1P__theil_theil_rate_8,RAC1P__theil_theil_rate_6,RAC1P__theil_theil_rate_7,HISP__spd_spd_range,HISP__spd_spd_rate_0,HISP__spd_spd_rate_4,HISP__spd_spd_rate_2,HISP__spd_spd_rate_3,HISP__spd_spd_rate_1,HISP__spd_spd_diff_0_minus_4,HISP__spd_spd_diff_0_minus_2,HISP__spd_spd_diff_0_minus_3,HISP__spd_spd_diff_0_minus_1,HISP__spd_spd_diff_4_minus_2,HISP__spd_spd_diff_4_minus_3,HISP__spd_spd_diff_4_minus_1,HISP__spd_spd_diff_2_minus_3,HISP__spd_spd_diff_2_minus_1,HISP__spd_spd_diff_3_minus_1,HISP__spd_spd_max_pair_diff,HISP__eod_eod_tpr_range,HISP__eod_eod_fpr_range,HISP__eod_eod_tpr_0,HISP__eod_eod_tpr_4,HISP__eod_eod_tpr_2,HISP__eod_eod_tpr_3,HISP__eod_eod_tpr_1,HISP__eod_eod_fpr_0,HISP__eod_eod_fpr_4,HISP__eod_eod_fpr_2,HISP__eod_eod_fpr_3,HISP__eod_eod_fpr_1,HISP__eod_eod_tpr_diff_0_minus_4,HISP__eod_eod_tpr_diff_0_minus_2,HISP__eod_eod_tpr_diff_0_minus_3,HISP__eod_eod_tpr_diff_0_minus_1,HISP__eod_eod_tpr_diff_4_minus_2,HISP__eod_eod_tpr_diff_4_minus_3,HISP__eod_eod_tpr_diff_4_minus_1,HISP__eod_eod_tpr_diff_2_minus_3,HISP__eod_eod_tpr_diff_2_minus_1,HISP__eod_eod_tpr_diff_3_minus_1,HISP__eod_eod_tpr_max_pair_diff,HISP__eod_eod_fpr_diff_0_minus_4,HISP__eod_eod_fpr_diff_0_minus_2,HISP__eod_eod_fpr_diff_0_minus_3,HISP__eod_eod_fpr_diff_0_minus_1,HISP__eod_eod_fpr_diff_4_minus_2,HISP__eod_eod_fpr_diff_4_minus_3,HISP__eod_eod_fpr_diff_4_minus_1,HISP__eod_eod_fpr_diff_2_minus_3,HISP__eod_eod_fpr_diff_2_minus_1,HISP__eod_eod_fpr_diff_3_minus_1,HISP__eod_eod_fpr_max_pair_diff,HISP__di_disparate_impact,HISP__di_0,HISP__di_4,HISP__di_2,HISP__di_3,HISP__di_1,HISP__theil_theil_index,HISP__theil_theil_rate_0,HISP__theil_theil_rate_4,HISP__theil_theil_rate_2,HISP__theil_theil_rate_3,HISP__theil_theil_rate_1,intersect__intersect_spd_range,intersect__intersect_n_groups,intersect__intersect_min_group_size,threshold_fallback_groups
acs_ma_2019,baseline,,0.8735255570117956,0.8414133114215283,0.9481103801169593,0.16338418862690707,0.5062413314840499,0.34285714285714286,0.16338418862690707,0.16338418862690707,0.09875567845151101,0.013834091711000834,0.9307228915662651,0.8319672131147541,0.14395886889460155,0.13012477718360071,0.09875567845151101,0.09875567845151101,0.013834091711000834,0.013834091711000834,0.6772602739726028,0.5062413314840499,0.34285714285714286,0.0,0.5062413314840499,0.34285714285714286,0.42857142857142855,0.42857142857142855,0.21621621621621623,0.42424242424242425,0.2727272727272727,0.40350877192982454,0.0,0.21235521235521232,0.0043290043290042934,0.15584415584415584,0.02506265664160401,0.42857142857142855,-0.20802620802620803,-0.05651105651105648,-0.1872925557136083,0.21621621621621623,0.15151515151515155,0.020733652312599715,0.42424242424242425,-0.13078149920255183,0.2727272727272727,0.40350877192982454,0.42857142857142855,0.4444444444444444,0.17391304347826086,0.8952569169960475,0.5555555555555556,1.0,0.75,0.8723404255319149,,0.14199029126213591,0.10714285714285714,0.17391304347826086,0.0,0.07462686567164178,0.0,0.3397013614404919,-0.10474308300395252,0.14525691699604748,0.02291649146413255,-0.4444444444444444,-0.19444444444444442,-0.31678486997635935,0.25,0.12765957446808507,-0.12234042553191493,0.4444444444444444,0.03484743411927878,-0.03192275221612495,0.14199029126213591,0.06736342559049413,0.14199029126213591,-0.06677018633540373,0.10714285714285714,0.03251599147121535,0.10714285714285714,0.17391304347826086,0.09928617780661908,0.17391304347826086,-0.07462686567164178,0.0,0.07462686567164178,0.17391304347826086,0.0,0.42857142857142855,0.21621621621621623,0.42424242424242425,0.2727272727272727,0.40350877192982454,0.0,0.0,0.42857142857142855,0.21621621621621623,0.42424242424242425,0.2727272727272727,0.40350877192982454,0.0,0.55,0.42370572207084467,0.3,0.2,0.75,0.4444444444444444,0.12370572207084468,0.22370572207084466,-0.32629427792915533,-0.02073872237359975,0.09999999999999998,-0.45,-0.14444444444444443,-0.55,-0.2444444444444444,0.3055555555555556,0.55,0.25,0.2857142857142857,0.8892857142857142,0.75,1.0,1.0,1.0,0.13656387665198239,0.13636363636363635,0.0,0.0,0.2857142857142857,0.13928571428571423,-0.11071428571428577,-0.11071428571428577,-0.11071428571428577,-0.25,-0.25,-0.25,0.0,0.0,0.0,0.25,0.00020024028834603191,0.13656387665198239,0.13656387665198239,-0.1491504090623033,0.13636363636363635,0.13636363636363635,-0.14935064935064934,0.0,-0.2857142857142857,-0.2857142857142857,0.2857142857142857,0.26666666666666666,0.42370572207084467,0.3,0.2,0.75,0.4444444444444444,0.0,0.42370572207084467,0.3,0.2,0.75,0.4444444444444444,0.3342670401493931,4.0,20.0,
acs_ma_2019,expgrad_demographic_parity,0.1,0.8433813892529489,0.796595744680851,0.8750237573099415,0.047361756015196266,0.36754507628294036,0.41490683229813663,-0.047361756015196266,0.047361756015196266,0.17598261900059253,0.14644708081877295,0.7379518072289156,0.9139344262295082,0.05141388174807198,0.19786096256684493,-0.17598261900059253,0.17598261900059253,-0.14644708081877295,0.14644708081877295,0.8858496599034941,0.36754507628294036,0.41490683229813663,0.0,0.36754507628294036,0.41490683229813663,0.42105263157894735,0.4,0.1891891891891892,0.3333333333333333,0.09090909090909091,0.42105263157894735,0.0,0.21081081081081082,0.06666666666666671,0.3090909090909091,-0.021052631578947323,0.4,-0.14414414414414412,0.09828009828009829,-0.23186344238975815,0.1891891891891892,0.2424242424242424,-0.08771929824561403,0.3333333333333333,-0.3301435406698564,0.09090909090909091,0.42105263157894735,0.42105263157894735,0.65,0.14684466019417475,0.8122529644268774,0.5555555555555556,0.9,0.25,0.8936170212765957,,0.14684466019417475,0.07142857142857142,0.08695652173913043,0.0,0.08955223880597014,0.0,0.25669740887132186,-0.08774703557312258,0.5622529644268774,-0.08136405684971826,-0.34444444444444444,0.3055555555555556,-0.3380614657210401,0.65,0.00638297872340432,-0.6436170212765957,0.65,0.07541608876560332,0.059888138455044315,0.14684466019417475,0.057292421388204604,0.14684466019417475,-0.015527950310559008,0.07142857142857142,-0.01812366737739872,0.07142857142857142,0.08695652173913043,-0.0025957170668397117,0.08695652173913043,-0.08955223880597014,0.0,0.08955223880597014,0.14684466019417475,0.0,0.4,0.1891891891891892,0.3333333333333333,0.09090909090909091,0.42105263157894735,0.0,0.0,0.4,0.1891891891891892,0.3333333333333333,0.09090909090909091,0.42105263157894735,0.0,0.33333333333333337,0.3991825613079019,0.16666666666666666,0.2,0.5,0.3333333333333333,0.23251589464123526,0.1991825613079019,-0.10081743869209808,0.0658492279745686,-0.033333333333333354,-0.33333333333333337,-0.16666666666666666,-0.3,-0.1333333333333333,0.16666666666666669,0.33333333333333337,0.5,0.14285714285714285,0.8178571428571428,0.5,0.6666666666666666,0.6666666666666666,1.0,0.14096916299559473,0.045454545454545456,0.08333333333333333,0.0,0.14285714285714285,0.31785714285714284,0.1511904761904762,0.1511904761904762,-0.18214285714285716,-0.16666666666666663,-0.16666666666666663,-0.5,0.0,-0.33333333333333337,-0.33333333333333337,0.5,0.09551461754104927,0.0576358296622614,0.14096916299559473,-0.0018879798615481225,-0.03787878787878787,0.045454545454545456,-0.0974025974025974,0.08333333333333333,-0.05952380952380952,-0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3991825613079019,0.16666666666666666,0.2,0.5,0.3333333333333333,0.0,0.3991825613079019,0.16666666666666666,0.2,0.5,0.3333333333333333,0.19607843137254904,4.0,20.0,
acs_ma_2019,expgrad_equalized_odds,0.1,0.8715596330275229,0.839607201309329,0.8821948099415204,0.13088102273412533,0.492371705963939,0.36149068322981365,0.13088102273412533,0.13088102273412533,0.05199486470472059,0.010708934192980774,0.9126506024096386,0.860655737704918,0.13367609254498714,0.1443850267379679,0.05199486470472059,0.05199486470472059,-0.010708934192980774,0.010708934192980774,0.7341824862216778,0.492371705963939,0.36149068322981365,0.0,0.492371705963939,0.36149068322981365,0.43157894736842106,0.43157894736842106,0.21621621621621623,0.42424242424242425,0.2727272727272727,0.41228070175438597,0.0,0.21536273115220483,0.007336523125996808,0.15885167464114835,0.019298245614035092,0.43157894736842106,-0.20802620802620803,-0.05651105651105648,-0.19606448553816974,0.21621621621621623,0.15151515151515155,0.011961722488038284,0.42424242424242425,-0.13955342902711326,0.2727272727272727,0.41228070175438597,0.43157894736842106,0.4444444444444444,0.17391304347826086,0.8952569169960475,0.5555555555555556,1.0,0.75,0.8936170212765957,,0.14684466019417475,0.10714285714285714,0.17391304347826086,0.0,0.07462686567164178,0.0,0.3397013614404919,-0.10474308300395252,0.14525691699604748,0.0016398957194517783,-0.4444444444444444,-0.19444444444444442,-0.3380614657210401,0.25,0.1063829787234043,-0.1436170212765957,0.4444444444444444,0.03970180305131761,-0.027068383284086117,0.14684466019417475,0.07221779452253296,0.14684466019417475,-0.06677018633540373,0.10714285714285714,0.03251599147121535,0.10714285714285714,0.17391304347826086,0.09928617780661908,0.17391304347826086,-0.07462686567164178,0.0,0.07462686567164178,0.17391304347826086,0.0,0.43157894736842106,0.21621621621621623,0.42424242424242425,0.2727272727272727,0.41228070175438597,0.0,0.0,0.43157894736842106,0.21621621621621623,0.42424242424242425,0.2727272727272727,0.41228070175438597,0.0,0.55,0.4271117166212534,0.3,0.2,0.75,0.4444444444444444,0.12711171662125342,0.2271117166212534,-0.3228882833787466,-0.017332727823191008,0.09999999999999998,-0.45,-0.14444444444444443,-0.55,-0.2444444444444444,0.3055555555555556,0.55,0.25,0.2857142857142857,0.8910714285714286,0.75,1.0,1.0,1.0,0.14096916299559473,0.13636363636363635,0.0,0.0,0.2857142857142857,0.14107142857142863,-0.10892857142857137,-0.10892857142857137,-0.10892857142857137,-0.25,-0.25,-0.25,0.0,0.0,0.0,0.25,0.004605526631958373,0.14096916299559473,0.14096916299559473,-0.14474512271869097,0.13636363636363635,0.13636363636363635,-0.14935064935064934,0.0,-0.2857142857142857,-0.2857142857142857,0.2857142857142857,0.26666666666666666,0.4271117166212534,0.3,0.2,0.75,0.4444444444444444,0.0,0.4271117166212534,0.3,0.2,0.75,0.4444444444444444,0.31839402427637725,4.0,20.0,
acs_ma_2019,threshold_demographic_parity,,0.6225425950196593,0.0,0.9481103801169593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,
acs_ma_2019,threshold_equalized_odds,,0.6225425950196593,0.0,0.9481103801169593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,
